CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,DATA_QUALITY_FLAG,population_2021,population_density_km2,age_65_plus_pct,average_household_size,median_total_income_2020,low_income_lim_at_pct,renter_households_pct,shelter_cost_30pct_plus_pct,bachelor_or_higher_age25_64_pct,unemployment_rate_pct
2021,2021S05078250077.28,8250077.28,Census tract,8250077.28,00000,4061,2868.5,9.2,3.2,51600,4.6,10.3,14.5,58.8,11.9
2021,2021S05078250077.30,8250077.30,Census tract,8250077.30,00000,5695,2970.2,10.6,3.3,48000,6.1,14.6,21.1,47.8,12.3
2021,2021S05078250077.31,8250077.31,Census tract,8250077.31,00000,3272,1634,23.9,3,42800,6.3,5.5,15,62.8,13.6
2021,2021S05078250077.32,8250077.32,Census tract,8250077.32,00000,4070,2382.6,21.3,3,38800,6.8,9.3,17.5,63.2,13.6
2021,2021S05078250077.33,8250077.33,Census tract,8250077.33,00000,3497,190,7,3,40000,8.8,29.9,31.5,49.1,12
2021,2021S05078250077.34,8250077.34,Census tract,8250077.34,00000,3376,4356.1,4.3,3.8,51600,5,9.4,22.8,63.5,14.3
2021,2021S05078250077.35,8250077.35,Census tract,8250077.35,00000,1834,4453.6,5.2,3.1,54000,6.3,10.7,25.6,55.9,10.3
2021,2021S05078250077.36,8250077.36,Census tract,8250077.36,00000,3371,4018.8,4.3,2.8,50800,8.9,25.8,26.3,54.5,13.5
2021,2021S05078250077.37,8250077.37,Census tract,8250077.37,00000,4579,4377.2,7,2.9,55200,5.1,12.3,20,46.6,8.9
2021,2021S05078250077.38,8250077.38,Census tract,8250077.38,00000,3395,2216.1,4.9,2.5,52400,7.1,23.2,24.4,56.3,9.3
2021,2021S05078250077.39,8250077.39,Census tract,8250077.39,00000,5397,4210.2,8.9,2.8,42000,12.1,39.3,31.2,58.8,11.1
2021,2021S05078250077.40,8250077.40,Census tract,8250077.40,00000,2144,2358.6,31.8,2.5,48400,4.4,5.2,14.5,48.4,11.7
2021,2021S05078250077.41,8250077.41,Census tract,8250077.41,00000,2289,2646.2,17.5,2.7,49600,6,14,11.1,44.5,12
2021,2021S05078250200.02,8250200.02,Census tract,8250200.02,19999,,,,,,,,,,
2021,2021S05078250200.03,8250200.03,Census tract,8250200.03,00000,2428,5.7,19.4,2.6,52000,6.5,13.7,17.3,47.6,7.9
2021,2021S05078250200.05,8250200.05,Census tract,8250200.05,00000,5030,46.7,16,3.1,62400,4.4,4.8,19.3,53.2,11.5
2021,2021S05078250200.06,8250200.06,Census tract,8250200.06,00000,5088,81.1,18.8,2.9,70000,4.8,4.3,13.4,60.6,10.4
2021,2021S05078250201.01,8250201.01,Census tract,8250201.01,00000,7440,30.2,20.4,3,54800,5,3.4,15.2,51.7,8.8
2021,2021S05078250201.02,8250201.02,Census tract,8250201.02,00000,4225,5,18.5,2.7,45600,9.3,11.8,18.2,31.3,9.3
2021,2021S05078250202.01,8250202.01,Census tract,8250202.01,00000,3914,128.8,4.3,3,50800,4.6,12.3,23.5,49.5,11.6
2021,2021S05078250202.02,8250202.02,Census tract,8250202.02,00000,780,15.2,15.9,3.1,47600,4.4,14,22,25.3,6.9
2021,2021S05078250202.03,8250202.03,Census tract,8250202.03,00000,3599,302.7,13.3,2.7,48800,8.2,16.5,15.2,11.5,10.6
2021,2021S05078250202.04,8250202.04,Census tract,8250202.04,00000,2807,6,19.4,2.9,45600,6,10.1,19.1,23.3,7.2
2021,2021S05078250203.00,8250203.00,Census tract,8250203.00,00000,4012,4.2,16.2,2.5,45200,8.3,13.9,19.3,9.9,11.6
2021,2021S05078250204.01,8250204.01,Census tract,8250204.01,00000,6722,22.1,8,3.1,55600,4.7,8.2,14,16.8,8.2
2021,2021S05078250204.03,8250204.03,Census tract,8250204.03,00000,5209,12.4,26.1,3.1,39600,5.9,10.9,22.1,23.2,11
